Id,PcsId,StageId,StageRaceId,StageRace,Name,RaceDate,RaceType,Distance,Elevation,Duration,Status,ProfileImageUrl,PointsScale,UciScale,ParcoursType,ProfileScore,RaceRanking,StartlistQuality,DecidingMethod,Classification,Category,PcsUrl,WcsUrl,PointsRetrieved,ResultsRetrieved,StartListRetrieved,DetailsCompleted,GameOrganized,Error,Updated
tour-of-kosovo/2025/stage-2,tour-of-kosovo/2025/stage-2,stage-2,tour-of-kosovo/2025,0,Stage 2 |  -,2025-09-05 00:00:00.000,NULL,0,NULL,NULL,Planned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL
tour-of-kosovo/2025/stage-3,tour-of-kosovo/2025/stage-3,stage-3,tour-of-kosovo/2025,0,Stage 3 |  -,2025-09-06 00:00:00.000,NULL,0,NULL,NULL,Planned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL
tour-of-leuven/2024,gp-jef-scherens/2024,NULL,NULL,0,Tour of Leuven - Grote Prijs Jef Scherens,2024-08-15 00:00:00.000,One-day race,193,1956,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/dc/gp-jef-scherens-2024-result-profile-n3.jpg,1.1,UCI.WR.1,2,44,119,180,12kmsolo,1.1,ME - Men Elite,https://www.procyclingstats.com/race/gp-jef-scherens/2024,https://www.worldcyclingstats.com/en/race/tour-of-leuven/2024,0,0,0,0,NULL,NULL,2025-02-06 19:39:47.6313590
tour-of-malopolska/2024,NULL,NULL,NULL,1,Tour of Małopolska,NULL,NULL,NULL,NULL,NULL,Finished,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,NULL,NULL,NULL
tour-of-malopolska/2024/prologue,tour-of-malopolska/2024/prologue/2024,NULL,NULL,1,Prologue | Kraków - Kraków,2024-05-30 00:00:00.000,Multi-day race,1,117,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/ba/tour-of-malopolska-2024-stage-1-profile.png,2.2.Stage,UCI.WR.2.Stage,3,26,227,19,NULL,2.2,ME - Men Elite,https://www.procyclingstats.com/race/tour-of-malopolska/2024/prologue/2024,https://www.worldcyclingstats.com/en/race/tour-of-malopolska/2024/prologue,0,0,0,0,NULL,NULL,2025-02-06 19:39:50.6865750
tour-of-malopolska/2024/stage-1,tour-of-malopolska/2024/stage-1,stage-1,tour-of-malopolska/2024,1,Stage 1 | Koszyce - Myślenice (Góra Chełm),2024-05-31 00:00:00.000,Multi-day race,150,1887,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/cf/tour-of-malopolska-2024-stage-2-profile.png,2.2.Stage,UCI.WR.2.Stage,3,141,227,19,?-letusknow!,2.2,ME - Men Elite,https://www.procyclingstats.com/race/tour-of-malopolska/2024/stage-1,https://www.worldcyclingstats.com/en/race/tour-of-malopolska/2024/stage-1,0,0,0,1,NULL,NULL,2025-01-28 14:27:17.4819920
tour-of-malopolska/2024/stage-2,tour-of-malopolska/2024/stage-2,stage-2,tour-of-malopolska/2024,1,Stage 2 | Wieliczka - Nowy Targ,2024-06-01 00:00:00.000,Multi-day race,148,2330,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/af/tour-of-malopolska-2024-stage-3-profile.png,2.2.Stage,UCI.WR.2.Stage,2,87,227,19,?-letusknow!,2.2,ME - Men Elite,https://www.procyclingstats.com/race/tour-of-malopolska/2024/stage-2,https://www.worldcyclingstats.com/en/race/tour-of-malopolska/2024/stage-2,0,0,0,1,NULL,NULL,2025-01-28 14:27:20.9777180
tour-of-malopolska/2024/stage-3,tour-of-malopolska/2024/stage-3,stage-3,tour-of-malopolska/2024,1,Stage 3 | Jabłonka - Przehyba,2024-06-02 00:00:00.000,Multi-day race,126,1965,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/ab/tour-of-malopolska-2024-stage-4-profile.png,2.2.Stage,UCI.WR.2.Stage,5,224,227,19,?-letusknow!,2.2,ME - Men Elite,https://www.procyclingstats.com/race/tour-of-malopolska/2024/stage-3,https://www.worldcyclingstats.com/en/race/tour-of-malopolska/2024/stage-3,0,0,0,1,NULL,NULL,2025-01-28 14:27:24.4946040
tour-of-malopolska/2025,NULL,NULL,NULL,0,Tour of Małopolska,NULL,NULL,NULL,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,NULL,NULL,2025-02-06 20:08:30.0243510
tour-of-malopolska/2025/stage-1,tour-of-malopolska/2025/stage-1,stage-1,tour-of-malopolska/2025,0,Stage 1 |  -,2025-06-05 00:00:00.000,NULL,0,NULL,NULL,Planned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL
