Id,PcsId,StageId,StageRaceId,StageRace,Name,RaceDate,RaceType,Distance,Status,ProfileImageUrl,PointsScale,UciScale,ParcoursType,ProfileScore,RaceRanking,Elevation,StartlistQuality,DecidingMethod,Classification,Category,PcsUrl,WcsUrl,PointsRetrieved,GameOrganized,Updated
tour-alsace/2025/stage-2,tour-alsace/2025/stage-2,,,False,Tour Alsace,2025-07-31,One-day race,0.0,WaitingForStartList,,2.2.TTT,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,,,,,2025-01-20 08:35:49.979287
tour-alsace/2025/stage-3,tour-alsace/2025/stage-3,,,False,Tour Alsace,2025-08-01,One-day race,0.0,WaitingForStartList,,2.2.TTT,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,,,,,2025-01-20 08:35:53.138342
tour-alsace/2025/stage-4,tour-alsace/2025/stage-4,,,False,Tour Alsace,2025-08-02,One-day race,0.0,WaitingForStartList,,2.2.TTT,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,,,,,2025-01-20 08:35:56.322515
tour-alsace/2025/stage-5,tour-alsace/2025/stage-5,,,False,Tour Alsace,2025-08-03,One-day race,0.0,WaitingForStartList,,2.2.TTT,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,,,,,2025-01-20 08:35:59.640210
tour-bitwa-warszawska-1920/2024,,,,True,Tour Bitwa Warszawska 1920,,,,WaitingForStartList,,,,,,,,,,,,,,,,
tour-bitwa-warszawska-1920/2024/stage-1,tour-bitwa-warszawska-1920/2024/stage-1,,,False,Stage 1 | Radzymin - Radzymin,,,118.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:36.360640
tour-bitwa-warszawska-1920/2024/stage-2a,tour-bitwa-warszawska-1920/2024/stage-2a,,,False,Stage 2a (TTT) | Załuski - Załuski,,,13.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:36.381160
tour-bitwa-warszawska-1920/2024/stage-2b,tour-bitwa-warszawska-1920/2024/stage-2b,,,False,Stage 2b | Płońsk - Płońsk,,,120.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:36.398659
tour-bitwa-warszawska-1920/2024/stage-3,tour-bitwa-warszawska-1920/2024/stage-3,,,False,Stage 3 | Ciechanów - Ciechanów,,,150.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:36.415392
tour-bitwa-warszawska-1920/2024/stage-4,tour-bitwa-warszawska-1920/2024/stage-4,,,False,Stage 4 | Mława - Mława,,,160.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:36.431665
tour-colombia-21/2024,colombia-21/2025,,,True,Tour Colombia 2.1,,,,WaitingForStartList,,,,,,,,,,,,,,,,
